twitter,League,Team,Revenue
@dallascowboys,NFL,Dallas Cowboys,840
@Patriots,NFL,New England Patriots,575
@Giants,NFL,New York Giants,477
@Redskins,NFL,Washington Redskins,482
@49ers,NFL,San Francisco 49ers,458
@RamsNFL,NFL,Los Angeles Rams,370
@ChicagoBears,NFL,Chicago Bears,416
@HoustonTexans,NFL,Houston Texans,433
@nyjets,NFL,New York Jets,431
@Eagles,NFL,Philadelphia Eagles,430
@Broncos,NFL,Denver Broncos,411
@MiamiDolphins,NFL,Miami Dolphins,376
@packers,NFL,Green Bay Packers,421
@Ravens,NFL,Baltimore Ravens,403
@AtlantaFalcons,NFL,Atlanta Falcons,367
@steelers,NFL,Pittsburgh Steelers,401
@Seahawks,NFL,Seattle Seahawks,399
@Vikings,NFL,Minnesota Vikings,392
@RAIDERS,NFL,Oakland Raiders,321
@Colts,NFL,Indianapolis Colts,360
@Panthers,NFL,Carolina Panthers,385
@Chargers,NFL,Los Angeles Chargers,355
@AZCardinals,NFL,Arizona Cardinals,370
@Chiefs,NFL,Kansas City Chiefs,365
@Jaguars,NFL,Jacksonville Jaguars,377
@Titans,NFL,Tennessee Titans,366
@Saints,NFL,New Orleans Saints,395
@TBBuccaneers,NFL,Tampa Bay Buccaneers,367
@Browns,NFL,Cleveland Browns,365
@Bengals,NFL,Cincinnati Bengals,355
@Lions,NFL,Detroit Lions,341
@buffalobills,NFL,Buffalo Bills,352
@nyknicks,NBA,New York Knicks,426
@Lakers,NBA,Los Angeles Lakers,371
@warriors,NBA,Golden State Warriors,359
@chicagobulls,NBA,Chicago Bulls,281
@celtics,NBA,Boston Celtics,257
@BrooklynNets,NBA,Brooklyn Nets,273
@HoustonRockets,NBA,Houston Rockets,296
@LAClippers,NBA,Los Angeles Clippers,257
@dallasmavs,NBA,Dallas Mavericks,233
@MiamiHEAT,NBA,Miami Heat,253
@spurs,NBA,San Antonio Spurs,259
@Raptors,NBA,Toronto Raptors,250
@SacramentoKings,NBA,Sacramento Kings,240
@WashWizards,NBA,Washington Wizards,222
@cavs,NBA,Cleveland Cavaliers,280
@trailblazers,NBA,Portland Trail Blazers,223
@Suns,NBA,Phoenix Suns,218
@okcthunder,NBA,Oklahoma City Thunder,222
@OrlandoMagic,NBA,Orlando Magic,211
@utahjazz,NBA,Utah Jazz,221
@sixers,NBA,Philadelphia 76ers,184
@Pacers,NBA,Indiana Pacers,205
@ATLHawks,NBA,Atlanta Hawks,209
@nuggets,NBA,Denver Nuggets,202
@DetroitPistons,NBA,Detroit Pistons,221
@Bucks,NBA,Milwaukee Bucks,179
@Timberwolves,NBA,Minnesota Timberwolves,204
@hornets,NBA,Charlotte Hornets,202
@memgrizz,NBA,Memphis Grizzlies,206
@PelicansNBA,NBA,New Orleans Pelicans,204
@NYRangers,NHL,New York Rangers,246
@MapleLeafs,NHL,Toronto Maple Leafs,211
@CanadiensMTL,NHL,Montreal Canadiens,236
@NHLBlackhawks,NHL,Chicago Blackhawks,183
@NHLBruins,NHL,Boston Bruins,176
@LAKings,NHL,Los Angeles Kings,175
@NHLFlyers,NHL,Philadelphia Flyers,170
@Canucks,NHL,Vancouver Canucks,156
@DetroitRedWings,NHL,Detroit Red Wings,141
@penguins,NHL,Pittsburgh Penguins,196
@Capitals,NHL,Washington Capitals,146
@EdmontonOilers,NHL,Edmonton Oilers,151
@DallasStars,NHL,Dallas Stars,140
@GoldenKnights,NHL,Vegas Golden Knights,138
@SanJoseSharks,NHL,San Jose Sharks,137
@AnaheimDucks,NHL,Anaheim Ducks,136
@StLouisBlues,NHL,St. Louis Blues,150
@mnwild,NHL,Minnesota Wild,139
@NHLFlames,NHL,Calgary Flames,129
@Senators,NHL,Ottawa Senators,135
@NJDevils,NHL,New Jersey Devils,137
@NYIslanders,NHL,New York Islanders,110
@TBLightning,NHL,Tampa Bay Lightning,124
@Avalanche,NHL,Colorado Avalanche,113
@PredsNHL,NHL,Nashville Predators,141
@NHLJets,NHL,Winnipeg Jets,119
@NHLCanes,NHL,Carolina Hurricanes,108
@BuffaloSabres,NHL,Buffalo Sabres,120
@BlueJacketsNHL,NHL,Columbus Blue Jackets,106
@FlaPanthers,NHL,Florida Panthers,100
@ArizonaCoyotes,NHL,Arizona Coyotes,98
@Yankees,MLB,New York Yankees,526
@Dodgers,MLB,Los Angeles Dodgers,462
@RedSox,MLB,Boston Red Sox,434
@Cubs,MLB,Chicago Cubs,434
@SFGiants,MLB,San Francisco Giants,428
@Mets,MLB,New York Mets,332
@Cardinals,MLB,St. Louis Cardinals,310
@Angels,MLB,Los Angeles Angels,350
@Phillies,MLB,Philadelphia Phillies,325
@Nationals,MLB,Washington Nationals,304
@Rangers,MLB,Texas Rangers,298
@Braves,MLB,Atlanta Braves,275
@astros,MLB,Houston Astros,299
@Mariners,MLB,Seattle Mariners,289
@whitesox,MLB,Chicago White Sox,269
@BlueJays,MLB,Toronto Blue Jays,278
@Pirates,MLB,Pittsburgh Pirates,265
@tigers,MLB,Detroit Tigers,275
@Orioles,MLB,Baltimore Orioles,253
@Dbacks,MLB,Arizona Diamondbacks,253
@Padres,MLB,San Diego Padres,259
@Twins,MLB,Minnesota Twins,249
@Rockies,MLB,Colorado Rockies,248
@Royals,MLB,Kansas City Royals,246
@Marlins,MLB,Miami Marlins,206
@Brewers,MLB,Milwaukee Brewers,239
@Indians,MLB,Cleveland Indians,271
@Reds,MLB,Cincinnati Reds,229
@Athletics,MLB,Oakland Athletics,216
@RaysBaseball,MLB,Tampa Bay Rays,205
